년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시,,평균기온(℃),평균최고기온(℃),최저기온(℃)
2018,12,13,118266,97903,83702,14201,17,2018/12/13(10:00),,-0.3,5.1,-13.1
2018,12,12,118266,97110,83447,13663,16.4,2018/12/12(10:00),,-0.5,3.8,-13.6
2018,12,11,118266,98271,85463,12808,15,2018/12/11(11:00),,0.3,2.6,-11.3
2018,12,10,118266,97775,83776,13999,16.7,2018/12/10(10:00),,-1.9,5.4,-17.1
2018,12,9,118266,95642,67263,28379,42.2,2018/12/09(19:00),,-4.4,0.7,-17.9
2018,12,8,118266,95541,69510,26031,37.4,2018/12/08(01:00),,-5,-1,-15.1
2018,12,7,118266,96189,82072,14117,17.2,2018/12/07(17:00),,-3,3.1,-14.4
2018,12,6,118266,94062,78157,15905,20.4,2018/12/06(10:00),,4,6.9,-4.1
2018,12,5,118266,95421,76287,19134,25.1,2018/12/05(10:00),,3.9,7.9,-7.5
2018,12,4,118266,95299,73600,21699,29.5,2018/12/04(10:00),,10.2,14.1,-2.8
2018,12,3,118266,93342,73728,19614,26.6,2018/12/03(10:00),,12.1,15.2,-1
2018,12,2,118266,91105,60232,30873,51.3,2018/12/02(19:00),,8.5,15.3,-6.7
2018,12,1,118266,93351,63484,29867,47,2018/12/01(01:00),,5.4,11.9,-5.8
2018,11,30,118266,94970,74676,20294,27.2,2018/11/30(10:00),,5.1,12.1,-9
2018,11,29,118266,93480,75914,17566,23.1,2018/11/29(10:00),,5,11.4,-7.5
2018,11,28,118266,92262,74495,17767,23.8,2018/11/28(10:00),,5.9,12.1,-5.9
2018,11,27,118266,91509,74408,17101,23,2018/11/27(10:00),,7.8,14.9,-5.6
2018,11,26,118266,90334,74483,15851,21.3,2018/11/26(10:00),,5.9,13.9,-6.3
2018,11,25,118266,88825,60418,28407,47,2018/11/25(19:00),,5.7,11.3,-2.6
2018,11,24,118266,89340,66363,22977,34.6,2018/11/24(11:00),,3.7,7.1,-8.3
2018,11,23,118266,89284,74515,14769,19.8,2018/11/23(10:00),,2.3,8.6,-9.2
2018,11,22,118266,89678,73930,15748,21.3,2018/11/22(18:00),,4.1,8.8,-6.4
2018,11,21,118266,88807,74205,14602,19.7,2018/11/21(17:00),,6.2,11.1,-3.8
2018,11,20,118266,89359,72086,17273,24,2018/11/20(09:00),,6.1,13.5,-5.5
2018,11,19,118266,89749,71325,18424,25.8,2018/11/19(18:00),,7.2,13.6,-4.6
2018,11,18,118266,88836,59566,29270,49.1,2018/11/18(19:00),,6.4,11.1,-3.3
2018,11,17,118266,89280,60668,28612,47.2,2018/11/17(01:00),,7.4,13.7,-4.9
2018,11,16,117996,89388,71160,18228,25.6,2018/11/16(10:00),,9,13.7,-1.2
2018,11,15,117996,88965,69041,19924,28.9,2018/11/15(18:00),,8.7,16.5,-2.8
2018,11,14,117996,87850,69403,18447,26.6,2018/11/14(09:00),,8.5,15.9,-2.1
2018,11,13,117996,88097,69176,18921,27.4,2018/11/13(01:00),,8.8,15.4,-1.4
2018,11,12,117996,88116,67888,20228,29.8,2018/11/12(10:00),,9.3,14.9,-2.4
2018,11,11,117996,85994,58243,27751,47.6,2018/11/11(19:00),,9.5,14.3,-3
2018,11,10,117996,85852,59583,26269,44.1,2018/11/10(01:00),,10.9,18.2,0.8
2018,11,9,117996,88746,69575,19171,27.6,2018/11/09(10:00),,12.4,16.1,2.5
2018,11,8,117996,88392,71046,17346,24.4,2018/11/08(15:00),,14,17.1,6.6
